iter, runtime, planning-time, anml-file, opened-states, generated-states, fast-forwarded, sol-depth, makespan, flaw-sel, plan-sel, reachability, fast-forward, ae
2, 12.021, 12.018, problem/anml/overcooked-hier-dur.tutorial-tomato-salad.pb.anml, 55, 115, 319, 55, 121, earliest:threats:hier-fifo:ogf:abs:lcf, dfs:ord-dec:makespan:soca, full, ff, no-ae
3, TIMEOUT, 1000.544, problem/anml/overcooked-hier-dur.burger-deadline.pb.anml, 5033, 5203, 29129, -, -, earliest:threats:hier-fifo:ogf:abs:lcf, dfs:ord-dec:makespan:soca, full, ff, no-ae
3, TIMEOUT, 1000.001, problem/anml/overcooked-hier-dur.tutorial-salads.pb.anml, 36461, 36534, 214507, -, -, earliest:threats:hier-fifo:ogf:abs:lcf, dfs:ord-dec:makespan:soca, full, ff, no-ae
3, 12.282, 12.28, problem/anml/overcooked-hier-dur.tutorial-tomato-salad.pb.anml, 55, 115, 319, 55, 121, earliest:threats:hier-fifo:ogf:abs:lcf, dfs:ord-dec:makespan:soca, full, ff, no-ae
4, TIMEOUT, 1000.009, problem/anml/overcooked-hier-dur.burger-deadline.pb.anml, 5133, 5306, 29740, -, -, earliest:threats:hier-fifo:ogf:abs:lcf, dfs:ord-dec:makespan:soca, full, ff, no-ae
4, TIMEOUT, 1000.087, problem/anml/overcooked-hier-dur.tutorial-salads.pb.anml, 35548, 35630, 212558, -, -, earliest:threats:hier-fifo:ogf:abs:lcf, dfs:ord-dec:makespan:soca, full, ff, no-ae
4, 11.982, 11.979, problem/anml/overcooked-hier-dur.tutorial-tomato-salad.pb.anml, 55, 115, 319, 55, 121, earliest:threats:hier-fifo:ogf:abs:lcf, dfs:ord-dec:makespan:soca, full, ff, no-ae
0, 45.649, 45.559, problem/anml/overcooked-hier-dur.burger-deadline.pb.anml, 52, 121, 381, 51, 320, earliest:threats:hier-fifo:ogf:abs:lcf, dfs:robust:ord-dec:soca, full, ff, no-ae
0, TIMEOUT, 1000.017, problem/anml/overcooked-hier-dur.tutorial-salads.pb.anml, 16564, 16584, 76302, -, -, earliest:threats:hier-fifo:ogf:abs:lcf, dfs:robust:ord-dec:soca, full, ff, no-ae
0, 16.877, 16.874, problem/anml/overcooked-hier-dur.tutorial-tomato-salad.pb.anml, 144, 190, 661, 35, 166, earliest:threats:hier-fifo:ogf:abs:lcf, dfs:robust:ord-dec:soca, full, ff, no-ae
1, 244.055, 244.052, problem/anml/overcooked-hier-dur.burger-deadline.pb.anml, 1478, 1545, 7445, 51, 363, earliest:threats:hier-fifo:ogf:abs:lcf, dfs:robust:ord-dec:soca, full, ff, no-ae
1, 16.897, 16.895, problem/anml/overcooked-hier-dur.tutorial-tomato-salad.pb.anml, 142, 185, 677, 33, 189, earliest:threats:hier-fifo:ogf:abs:lcf, dfs:robust:ord-dec:soca, full, ff, no-ae
2, 975.896, 975.894, problem/anml/overcooked-hier-dur.burger-deadline.pb.anml, 6314, 6387, 21809, 61, 329, earliest:threats:hier-fifo:ogf:abs:lcf, dfs:robust:ord-dec:soca, full, ff, no-ae
2, 13.816, 13.814, problem/anml/overcooked-hier-dur.tutorial-tomato-salad.pb.anml, 147, 190, 708, 37, 161, earliest:threats:hier-fifo:ogf:abs:lcf, dfs:robust:ord-dec:soca, full, ff, no-ae
3, 168.829, 168.826, problem/anml/overcooked-hier-dur.burger-deadline.pb.anml, 868, 944, 3205, 56, 305, earliest:threats:hier-fifo:ogf:abs:lcf, dfs:robust:ord-dec:soca, full, ff, no-ae
3, 10.791, 10.788, problem/anml/overcooked-hier-dur.tutorial-tomato-salad.pb.anml, 64, 101, 423, 34, 188, earliest:threats:hier-fifo:ogf:abs:lcf, dfs:robust:ord-dec:soca, full, ff, no-ae
4, 276.294, 276.292, problem/anml/overcooked-hier-dur.burger-deadline.pb.anml, 1480, 1547, 10034, 56, 330, earliest:threats:hier-fifo:ogf:abs:lcf, dfs:robust:ord-dec:soca, full, ff, no-ae
4, 16.563, 16.561, problem/anml/overcooked-hier-dur.tutorial-tomato-salad.pb.anml, 146, 191, 798, 31, 173, earliest:threats:hier-fifo:ogf:abs:lcf, dfs:robust:ord-dec:soca, full, ff, no-ae
0, 44.987, 44.905, problem/anml/overcooked-hier-dur.burger-deadline.pb.anml, 56, 126, 386, 50, 358, earliest:threats:hier-fifo:ogf:abs:lcf, dfs:ord-dec:robust:soca, full, ff, no-ae
0, TIMEOUT, 1000.003, problem/anml/overcooked-hier-dur.tutorial-salads.pb.anml, 21292, 21336, 133589, -, -, earliest:threats:hier-fifo:ogf:abs:lcf, dfs:ord-dec:robust:soca, full, ff, no-ae
0, 13.588, 13.585, problem/anml/overcooked-hier-dur.tutorial-tomato-salad.pb.anml, 44, 85, 229, 42, 199, earliest:threats:hier-fifo:ogf:abs:lcf, dfs:ord-dec:robust:soca, full, ff, no-ae
1, TIMEOUT, 1000.101, problem/anml/overcooked-hier-dur.burger-deadline.pb.anml, 3636, 3711, 16881, -, -, earliest:threats:hier-fifo:ogf:abs:lcf, dfs:ord-dec:robust:soca, full, ff, no-ae
1, 13.407, 13.405, problem/anml/overcooked-hier-dur.tutorial-tomato-salad.pb.anml, 33, 76, 255, 33, 185, earliest:threats:hier-fifo:ogf:abs:lcf, dfs:ord-dec:robust:soca, full, ff, no-ae
2, 13.393, 13.391, problem/anml/overcooked-hier-dur.tutorial-tomato-salad.pb.anml, 32, 74, 213, 32, 199, earliest:threats:hier-fifo:ogf:abs:lcf, dfs:ord-dec:robust:soca, full, ff, no-ae
3, 10.374, 10.373, problem/anml/overcooked-hier-dur.tutorial-tomato-salad.pb.anml, 38, 80, 267, 36, 192, earliest:threats:hier-fifo:ogf:abs:lcf, dfs:ord-dec:robust:soca, full, ff, no-ae
4, 9.998, 9.995, problem/anml/overcooked-hier-dur.tutorial-tomato-salad.pb.anml, 35, 81, 237, 35, 176, earliest:threats:hier-fifo:ogf:abs:lcf, dfs:ord-dec:robust:soca, full, ff, no-ae
0, 40.979, 40.896, problem/anml/overcooked-hier-dur.burger-deadline.pb.anml, 57, 125, 328, 57, 368, earliest:threats:hier-fifo:ogf:abs:lcf, dfs:ord-dec:soca, full, ff, no-ae
0, TIMEOUT, 1000.048, problem/anml/overcooked-hier-dur.tutorial-salads.pb.anml, 39593, 39641, 233490, -, -, earliest:threats:hier-fifo:ogf:abs:lcf, dfs:ord-dec:soca, full, ff, no-ae
0, 11.539, 11.536, problem/anml/overcooked-hier-dur.tutorial-tomato-salad.pb.anml, 35, 75, 234, 34, 180, earliest:threats:hier-fifo:ogf:abs:lcf, dfs:ord-dec:soca, full, ff, no-ae
1, 41.5, 41.497, problem/anml/overcooked-hier-dur.burger-deadline.pb.anml, 57, 125, 328, 57, 368, earliest:threats:hier-fifo:ogf:abs:lcf, dfs:ord-dec:soca, full, ff, no-ae
1, 11.86, 11.858, problem/anml/overcooked-hier-dur.tutorial-tomato-salad.pb.anml, 35, 75, 234, 34, 180, earliest:threats:hier-fifo:ogf:abs:lcf, dfs:ord-dec:soca, full, ff, no-ae
2, 37.331, 37.329, problem/anml/overcooked-hier-dur.burger-deadline.pb.anml, 57, 125, 328, 57, 368, earliest:threats:hier-fifo:ogf:abs:lcf, dfs:ord-dec:soca, full, ff, no-ae
2, 9.302, 9.299, problem/anml/overcooked-hier-dur.tutorial-tomato-salad.pb.anml, 35, 75, 234, 34, 180, earliest:threats:hier-fifo:ogf:abs:lcf, dfs:ord-dec:soca, full, ff, no-ae
3, 36.849, 36.847, problem/anml/overcooked-hier-dur.burger-deadline.pb.anml, 57, 125, 328, 57, 368, earliest:threats:hier-fifo:ogf:abs:lcf, dfs:ord-dec:soca, full, ff, no-ae
3, 9.126, 9.124, problem/anml/overcooked-hier-dur.tutorial-tomato-salad.pb.anml, 35, 75, 234, 34, 180, earliest:threats:hier-fifo:ogf:abs:lcf, dfs:ord-dec:soca, full, ff, no-ae
